sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
"JS0A2T3A-MAMMOTH BLUE-1",,Default,simple,"Jansports,Jansports/Offers",base,"JS0A2T3A-MAMMOTH BLUE",,,56.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,js0a2t3a-mammoth-blue,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK"," ",/t/z/tzr6_zs8_3.jpg,,/t/z/tzr6_zs8_3.jpg,,/t/z/tzr6_zs8_3.jpg,,/t/z/tzr6_zs8_3.jpg,,"10/20/16, 8:23 AM","10/20/16, 8:23 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=MAMMOTH BLUE,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_zs8_3.jpg,,,,,,,,,,,,
"24-WG085-PINK PANSY",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"24-WG085-PINK PANSY","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,24-wg085-pink-pansy,"Meta Title","meta1, meta2, meta3","meta description",/t/z/tzu9_008_3.jpg,,/t/z/tzu9_008_3.jpg,,/t/z/tzu9_008_3.jpg,,/t/z/tzu9_008_3.jpg,,"10/20/16, 7:50 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"color=PINK PANSY,device=LAPTOP,main_color=test,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzu9_008_3.jpg,,,,,,,,,,,,
"24-WG085-PINK PANSY PRESTON PLAID",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"24-WG085-PINK PANSY PRESTON PLAID","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,24-wg085-pink-pansy-preston-plaid,"Meta Title","meta1, meta2, meta3","meta description",/t/z/tzr6_0er_detail1.jpg,,/t/z/tzr6_0er_detail1.jpg,,/t/z/tzr6_0er_detail1.jpg,,/t/z/tzr6_0er_detail1.jpg,,"10/20/16, 7:50 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"color=PINK PANSY PRESTON PLAID,device=LAPTOP,main_color=test,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_0er_detail1.jpg,,,,,,,,,,,,
"24-WG085-BLACK MULTI SHORT CIRCUIT",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Online Exclusive,Jansports/Offers",base,"24-WG085-BLACK MULTI SHORT CIRCUIT","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,1.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,24-wg085-black-multi-short-circuit,"Meta Title","meta1, meta2, meta3","meta description",/t/z/tzr6_0fm_detail1.jpg,,/t/z/tzr6_0fm_detail1.jpg,,/t/z/tzr6_0fm_detail1.jpg,,/t/z/tzr6_0fm_detail1.jpg,,"10/20/16, 7:50 AM","10/20/16, 7:50 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"color=BLACK MULTI SHORT CIRCUIT,device=LAPTOP,main_color=test,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_0fm_detail1.jpg,,,,,,,,,,,,
JS0A2T3A-BLACK-1,,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Offers,Jansports/ACCESSORIES/DIGITAL",base,JS0A2T3A-BLACK,"<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",45.0000,,,,js0a2t3a-black,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",,,,,,,,,"10/20/16, 8:14 AM","10/20/16, 8:14 AM",,"10/27/16, 12:00 AM","Block after Info Column",,,,"Use config",,,,,,,,Albania,"bullet_ingles=test,color=BLACK,device=IPAD|TABLET,device_size=test,dimensiones=test,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=JS0A2T3B,tela=test",15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"JS0A2T3A-MAMMOTH BLUE",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Offers,Jansports/ACCESSORIES/DIGITAL",base,"JS0A2T3A-MAMMOTH BLUE","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",45.0000,,,,js0a2t3a-mammoth-blue,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",,,,,,,,,"10/20/16, 8:14 AM","10/20/16, 8:14 AM",,"10/27/16, 12:00 AM","Block after Info Column",,,,"Use config",,,,,,,,Albania,"bullet_ingles=test,color=MAMMOTH BLUE,device=IPAD|TABLET,device_size=test,dimensiones=test,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=JS0A2T3B,tela=test",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"JS0A2T3A-BLACK MULTI SHORT CIRCUIT",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Offers,Jansports/ACCESSORIES/DIGITAL",base,"JS0A2T3A-BLACK MULTI SHORT CIRCUIT","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",45.0000,,,,js0a2t3a-black-multi-short-circuit,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",,,,,,,,,"10/20/16, 8:14 AM","10/20/16, 8:14 AM",,"10/27/16, 12:00 AM","Block after Info Column",,,,"Use config",,,,,,,,Albania,"bullet_ingles=test,color=BLACK MULTI SHORT CIRCUIT,device=IPAD|TABLET,device_size=test,dimensiones=test,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=JS0A2T3B,tela=test",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"JS0A2T3A-PINK PANSY-1",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Offers,Jansports/ACCESSORIES/DIGITAL",base,"JS0A2T3A-PINK PANSY","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",45.0000,,,,js0a2t3a-pink-pansy,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",,,,,,,,,"10/20/16, 8:14 AM","10/20/16, 8:14 AM",,"10/27/16, 12:00 AM","Block after Info Column",,,,"Use config",,,,,,,,Albania,"bullet_ingles=test,color=PINK PANSY,device=IPAD|TABLET,device_size=test,dimensiones=test,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=JS0A2T3B,tela=test",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"JS0A2T3A-PINK PANSY PRESTON PLAID",,Default,simple,"Jansports,Jansports/BACKPACKS,Jansports/Gear,Jansports/BAGS,Jansports/ACCESSORIES,Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP,Jansports/MOCHILAS CON RUEDAS,Jansports/BOLSOS,Jansports/DIGITAL,Jansports/Best Seller,Jansports/Offers,Jansports/ACCESSORIES/DIGITAL",base,"JS0A2T3A-PINK PANSY PRESTON PLAID","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>","<p>Carry your digital stuff like a girl, with Women's Node. Holds a laptop, tablet, headphones and cords in comfort, with shorter strap length, narrower strap width and lower ladderlock adjustment.</p>",45.0000,1,"Taxable Goods","Not Visible Individually",45.0000,,,,js0a2t3a-pink-pansy-preston-plaid,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK","WOMENS NODE BACKPACK ",,,,,,,,,"10/20/16, 8:14 AM","10/20/16, 8:14 AM",,"10/27/16, 12:00 AM","Block after Info Column",,,,"Use config",,,,,,,,Albania,"bullet_ingles=test,color=PINK PANSY PRESTON PLAID,device=IPAD|TABLET,device_size=test,dimensiones=test,shop_by=DEPORTES|EVERYDAY|WORK,size=Small,style=JS0A2T3B,tela=test",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,
"JS0A2T3A-BERRYLICIOUS DITZI DAYSI",,Default,simple,"Jansports,Jansports/Offers",base,"JS0A2T3A-BERRYLICIOUS DITZI DAYSI",,,56.0000,1,"Taxable Goods","Not Visible Individually",56.0000,,,,js0a2t3a-berrylicious-ditzi-daysi,"WOMENS NODE BACKPACK","WOMENS NODE BACKPACK"," ",/t/z/tzr6_zs8_1.jpg,,/t/z/tzr6_zs8_1.jpg,,/t/z/tzr6_zs8_1.jpg,,/t/z/tzr6_zs8_1.jpg,,"10/20/16, 8:23 AM","10/20/16, 8:23 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,"color=BERRYLICIOUS DITZI DAYSI,device=LAPTOP,shop_by=DEPORTES,size=Small,style=T26Z",56.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/t/z/tzr6_zs8_1.jpg,,,,,,,,,,,,
