sku,store_view_code,attribute_set_code,product_type,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
T501-0A0,,Default,simple,base,SUPERBREAK MULTI FIREWORKS,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0UE,,Default,simple,base,SUPERBREAK MULTI FLOWER EXPLOSION,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,2002,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0KP,,Default,simple,base,SUPERBREAK MULTI FREQUENCY,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,404,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0VT,,Default,simple,base,SUPERBREAK MULTI GARDEN SPACE,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,2392,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0A1,,Default,simple,base,SUPERBREAK MULTI GREY FLORAL FLOURISH,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0WR,,Default,simple,base,SUPERBREAK MULTI JUNGLE JAM,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,2002,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0B5,,Default,simple,base,SUPERBREAK MULTI JUNK FOOD,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,232,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0JL,,Default,simple,base,SUPERBREAK MULTI LAVA LAMP,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,600,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0JM,,Default,simple,base,SUPERBREAK MULTI LOST MARBLES,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,505,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T501-0X1,,Default,simple,base,SUPERBREAK MULTI NAVY CONNECT FOUR,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,2054,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
