sku,categories,errors
JS0A2T3C,"Jansport/DIGITAL,Jansport/ACCESORIOS","Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
JS00T34J,Jansports/MOCHILAS,"Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
T35V,Jansports/MOCHILAS,"Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
T26U,"Jansport/DIGITAL,Jansport/ACCESORIOS","Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
T30S,"Jansport/DIGITAL,Jansport/ACCESORIOS","Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
TZA2,Jansports/MOCHILAS,"Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
T27B,"Jansport/DIGITAL,Jansport/ACCESORIOS","Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
JS00T55A,"Jansports/MOCHILAS,Jansports/MOCHILAS PARA LAPTOP","Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
JS00TDH7,Jansports/MOCHILAS,"Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
JS00T64Q,Jansports/MOCHILAS,"Category ""Jansport/DIGITAL"" has not been created. URL key for specified store already exists."
