sku,configurable_variations
T26Z,"sku=T26Z-1F8,color=1.0 FOLIO FOR IPAD BERRYLICIOUS DITZI DAYSI|sku=T26Z-008,color=1.0 FOLIO FOR IPAD BLACK|sku=T26Z-1F3,color=1.0 FOLIO FOR IPAD BLACK MULTI SHORT CIRCUIT|sku=T26Z-9XV,color=1.0 FOLIO FOR IPAD BLACK WHITE FLUORESCENT PINK MISS ZEBRA|sku=T26Z-9RW,color=1.0 FOLIO FOR IPAD MAMMOTH BLUE|sku=T26Z-1E5,color=1.0 FOLIO FOR IPAD PINK PANSY PRESTON PLAID"
T17E,"sku=T17E-1G2,color=1.0 SLEEVE FOR IPAD BERRYLICIOUS VINTAGE FLORAL CANVAS|sku=T17E-008,color=1.0 SLEEVE FOR IPAD BLACK|sku=T17E-1F3,color=1.0 SLEEVE FOR IPAD BLACK MULTI SHORT CIRCUIT|sku=T17E-9XV,color=1.0 SLEEVE FOR IPAD BLACK WHITE FLUORESCENT PINK MISS ZEBRA|sku=T17E-5KS,color=1.0 SLEEVE FOR IPAD HIGH RISH RED|sku=T17E-9RW,color=1.0 SLEEVE FOR IPAD MAMMOTH BLUE|sku=T17E-9SF,color=1.0 SLEEVE FOR IPAD PINK PANSY|sku=T17E-1G4,color=1.0 SLEEVE FOR IPAD PINK PANSY MUTED SAFARI|sku=T17E-1E5,color=1.0 SLEEVE FOR IPAD PINK PANSY PRESTON PLAID"
T17D,"sku=T17D-9XV,color=13'' 1.0 LAPTOP SLEEVE  BLACK WHITE FLUORECENT PINK MISS ZEBRA|sku=T17D-1G2,color=13'' 1.0 LAPTOP SLEEVE BERRYLICIOUS VINTAGE FLORAL CANVAS|sku=T17D-008,color=13'' 1.0 LAPTOP SLEEVE BLACK|sku=T17D-1F3,color=13'' 1.0 LAPTOP SLEEVE BLACK MULTI SHORT CIRCUIT|sku=T17D-5KS,color=13'' 1.0 LAPTOP SLEEVE HIGH RISK RED|sku=T17D-9RW,color=13'' 1.0 LAPTOP SLEEVE MAMMOTH BLUE|sku=T17D-1G4,color=13'' 1.0 LAPTOP SLEEVE PINK PANSY MUTED SAFARI|sku=T17D-1E5,color=13'' 1.0 LAPTOP SLEEVE PINK PANSY PRESTON PLAID"
T12H,"sku=T12H-9PC,color=13'' 2.0 SLEEVE FOR LAPTOP AND IPAD BLACK GLOSS ZEBRA|sku=T12H-212,color=13'' 2.0 SLEEVE FOR LAPTOP AND IPAD CARAMEL LEOPARD|sku=T12H-6XJ,color=13'' 2.0 SLEEVE FOR LAPTOP AND IPAD GREY TAR|sku=T12H-7PB,color=13'' 2.0 SLEEVE FOR LAPTOP AND IPAD WHITE BLACK CRAYON FLOWER"
T17C,"sku=T17C-1G2,color=15'' 1.0 LAPTOP SLEEVE BERRYLICIOUS VINTAGE FRORAL CANVAS|sku=T17C-008,color=15'' 1.0 LAPTOP SLEEVE BLACK|sku=T17C-9XV,color=15'' 1.0 LAPTOP SLEEVE BLACK WHITE FLUORECENT PINK MISS ZEBRA|sku=T17C-1F3,color=15'' 1.0 LAPTOP SLEEVE BLCK MULTI SHORT CIRCUIT|sku=T17C-5KS,color=15'' 1.0 LAPTOP SLEEVE HIGH RISK RED|sku=T17C-9RW,color=15'' 1.0 LAPTOP SLEEVE MAMMOTH BLUE|sku=T17C-1G4,color=15'' 1.0 LAPTOP SLEEVE PINK PANSY MUTED SAFARI|sku=T17C-1E5,color=15'' 1.0 LAPTOP SLEEVE PINK PANSY PRESTON PLAID"
T12G,"sku=T12G-9PC,color=15'' 2.0 SLEEVE FOR LAPTOP AND IPAD BLACK GLOSS ZEBRA|sku=T12G-212,color=15'' 2.0 SLEEVE FOR LAPTOP AND IPAD CARAMEL LEOPARD|sku=T12G-6XJ,color=15'' 2.0 SLEEVE FOR LAPTOP AND IPAD GREY TAR|sku=T12G-7PB,color=15'' 2.0 SLEEVE FOR LAPTOP AND IPAD WHITE BLACK CRAYON FLOWER"
T27A,"sku=T27A-9PC,color=2.0 FOLIO FOR IPAD BLACK GLOSS ZEBRA|sku=T27A-ZY1,color=2.0 FOLIO FOR IPAD BLACK ONYX|sku=T27A-212,color=2.0 FOLIO FOR IPAD CARAMEL LEOPARD|sku=T27A-ZM0,color=2.0 FOLIO FOR IPAD FUN FLORAL ON DENIM|sku=T27A-6XJ,color=2.0 FOLIO FOR IPAD GREY TAR"
T12J,"sku=T12J-6XJ,color=2.0 SLEEVE FOR  IPAD GREY TAR"
JS00T69J,"sku=JS00T69J-0WJ,color=ABBIE CHAMBRAY SWEET BLOSSOM|sku=JS00T69J-0LM,color=ABBIE CORAL PEACHES METALLIC COAT|sku=JS00T69J-0TR,color=ABBIE GOLD 3D STARS|sku=JS00T69J-0LN,color=ABBIE MULTI PALM DENIM|sku=JS00T69J-0FF,color=ABBIE MULTI SURF STRIPE|sku=JS00T69J-0U3,color=ABBIE NAVY TWIGGY DOG JACQUARD"
JS00T14F,"sku=JS00T14F-008,color=AGAVE BLACK|sku=JS00T14F-0UT,color=AGAVE BOZEMAN BROWN/FIELD TAN|sku=JS00T14F-0UY,color=AGAVE FORGE GREY/RED TAPE|sku=JS00T14F-0XN,color=AGAVE MOROCCAN DEEP MIDNIGHT SKY"
T26L,"sku=T26L-9ER,color=ALL PURPOSE  BLUE WASH|sku=T26L-008,color=ALL PURPOSE BLACK|sku=T26L-8WG,color=ALL PURPOSE CORAL SPARKLE|sku=T26L-9RX,color=ALL PURPOSE FLUORESCENT PINK|sku=T26L-9RS,color=ALL PURPOSE SHADY GREY"
JS00T71A,"sku=T71A-9ZG,color=AUSTIN AQUA DASH|sku=JS00T71A-008,color=AUSTIN BLACK|sku=T71A-008,color=AUSTIN BLACK|sku=JS00T71A-0JR,color=AUSTIN BLACK PAINTBALL|sku=T71A-9SA,color=AUSTIN CORAL PEACHES|sku=T71A-ZU3,color=AUSTIN DESERT BEIGE CONFLICT CAMO|sku=JS00T71A-6XD,color=AUSTIN FORGE GREY|sku=T71A-6XD,color=AUSTIN FORGE GREY|sku=JS00T71A-0KL,color=AUSTIN MULTI CONCRETE FLORAL|sku=JS00T71A-0KP,color=AUSTIN MULTI FREQUENCY|sku=JS00T71A-0N9,color=AUSTIN MULTI MIDNIGHT BOUQUET|sku=JS00T71A-0E2,color=AUSTIN MULTI NAVY MOUNTAIN MEADOW|sku=JS00T71A-0VZ,color=AUSTIN MULTI WHITE FLORAL HAZE|sku=JS00T71A-9ZH,color=AUSTIN NAVY MOONSHINE|sku=T71A-9ZH,color=AUSTIN NAVY MOONSHINE|sku=JS00T71A-9FL,color=AUSTIN VIKING RED|sku=T71A-9FL,color=AUSTIN VIKING RED|sku=JS00T71A-0WT,color=AUTIN AQUA DASH SCRIBBLED INK"
T49A,"sku=T49A-9RX,color=BASSIC ACCESORY FLUORECENT PINK|sku=T49A-9RW,color=BASSIC ACCESORY MAMMONTH BLUE|sku=T49A-1U1,color=BASSIC ACCESORY POUCH MAMMOTH BLUE ZOOT SUIT"
T50A,"sku=T50A-9ZG,color=BEATNIK AQUA DASH|sku=T50A-008,color=BEATNIK BLACK|sku=T50A-9W1,color=BEATNIK BLUE DENIM|sku=T50A-2C9,color=BEATNIK CORAL DUSK|sku=T50A-ZB6,color=BEATNIK NAVY TOKYONIGHTS|sku=T50A-ZB3,color=BEATNIK VIVID PURPLE ACAPULCO OMBRE STRIPE|sku=T50A-8WU,color=BEATNIK YELLOW JACKETsku=JS0A2T3D-0NR,color=BENTO BOX CORAL SPARKLE WHITE DOTS|sku=JS0A2T3D-6XD,color=BENTO BOX FORGE GREY|sku=JS0A2T3D-0KT,color=BENTO BOX MULTI BENTO BOX|sku=JS0A2T3D-0KL,color=BENTO BOX MULTI CONCRETE FLORAL|sku=JS0A2T3D-0E2,color=BENTO BOX MULTI NAVY MOUNTAIN MEADOW|sku=JS0A2T3D-0MV,color=BENTO BOX MULTI RED GALAXY"
JS0A2T3D,"sku=JS0A2T3D-0NR,color=BENTO BOX CORAL SPARKLE WHITE DOTS|sku=JS0A2T3D-6XD,color=BENTO BOX FORGE GREY|sku=JS0A2T3D-0KT,color=BENTO BOX MULTI BENTO BOX|sku=JS0A2T3D-0KL,color=BENTO BOX MULTI CONCRETE FLORAL|sku=JS0A2T3D-0E2,color=BENTO BOX MULTI NAVY MOUNTAIN MEADOW|sku=JS0A2T3D-0MV,color=BENTO BOX MULTI RED GALAXY"
