sku,url_key,errors
24-WG086,sprite-yoga-strap-8-foot,
24-WG087,sprite-yoga-strap-10-foot,
24-WG085_Group,set-of-sprite-yoga-straps,
"Test Payment ",test-payment,
JS0A2T3A-BLACK,js0a2t3a-black,
"JS0A2T3A-GREY TAR",js0a2t3a-grey-tar,
"JS0A2T3A-HIGH RISH RED",js0a2t3a-high-rish-red,
"JS0A2T3A-PINK PANSY",js0a2t3a-pink-pansy,
24-WG085-BLACK,wg085-black,
"24-WG085-MAMMOTH BLUE",wg085-mammoth-blue,
"24-WG085-HIGH RISH RED",wg085-high-rish-red,
"24-WG085-PINK PANSY",wg085-pink-pansy,
"24-WG085-PINK PANSY PRESTON PLAID",24-wg085-pink-pansy-preston-plaid,
"24-WG085-BLACK MULTI SHORT CIRCUIT",24-wg085-black-multi-short-circuit,
JS0A2T3A-BLACK-1,js0a2t3a-black,"Specified URL key already exists"
"JS0A2T3A-MAMMOTH BLUE",js0a2t3a-mammoth-blue,
"JS0A2T3A-BLACK MULTI SHORT CIRCUIT",js0a2t3a-black-multi-short-circuit,
"JS0A2T3A-PINK PANSY-1",js0a2t3a-pink-pansy,"Specified URL key already exists"
"JS0A2T3A-PINK PANSY PRESTON PLAID",js0a2t3a-pink-pansy-preston-plaid,
"JS0A2T3A-BERRYLICIOUS DITZI DAYSI",js0a2t3a-berrylicious-ditzi-daysi,
"JS0A2T3A-BLACK WHITE FLOURESCENT PINK MISS ZEBRA",js0a2t3a-black-white-flourescent-pink-miss-zebra,
JS0A2T3A-BLACK-2,js0a2t3a-black,"Specified URL key already exists"
"JS0A2T3A-MAMMOTH BLUE-1",js0a2t3a-mammoth-blue,"Specified URL key already exists"
T26Z-1F8,folio-for-ipad-berrylicious-ditzi-daysi,
T26Z-008,folio-for-ipad-black,
T26Z-1F3,folio-for-ipad-black-multi-short-circuit,
T26Z-9XV,folio-for-ipad-black-white-fluorescent-pink-miss-zebra,
T26Z-9RW,folio-for-ipad-mammoth-blue,
T26Z-1E5,folio-for-ipad-pink-pansy-preston-plaid,
T17E-1G2,sleeve-for-ipad-berrylicious-vintage-floral-canvas,
T17E-008,sleeve-for-ipad-black,
T17E-1F3,sleeve-for-ipad-black-multi-short-circuit,
T17E-9XV,sleeve-for-ipad-black-white-fluorescent-pink-miss-zebra,
T17E-5KS,sleeve-for-ipad-high-rish-red,
T17E-9RW,sleeve-for-ipad-mammoth-blue,
T17E-9SF,sleeve-for-ipad-pink-pansy,
T17E-1G4,sleeve-for-ipad-pink-pansy-muted-safari,
T17E-1E5,sleeve-for-ipad-pink-pansy-preston-plaid,
T17D-9XV,laptop-sleeve-black-white-fluorecent-pink-miss-zebra,
T17D-1G2,laptop-sleeve-berrylicious-vintage-floral-canvas,
T17D-008,laptop-sleeve-black,
T17D-1F3,laptop-sleeve-black-multi-short-circuit,
T17D-5KS,laptop-sleeve-high-risk-red,
T17D-9RW,laptop-sleeve-mammoth-blue,
T17D-1G4,laptop-sleeve-pink-pansy-muted-safari,
T17D-1E5,laptop-sleeve-pink-pansy-preston-plaid,
T12H-9PC,sleeve-for-laptop-and-ipad-black-gloss-zebra,
T12H-212,sleeve-for-laptop-and-ipad-caramel-leopard,
T12H-6XJ,sleeve-for-laptop-and-ipad-grey-tar,
T12H-7PB,sleeve-for-laptop-and-ipad-white-black-crayon-flower,
T17C-1G2,laptop-sleeve-berrylicious-vintage-froral-canvas,
T17C-008,laptop-sleeve-black,"Specified URL key already exists"
T17C-9XV,laptop-sleeve-black-white-fluorecent-pink-miss-zebra,"Specified URL key already exists"
T17C-1F3,laptop-sleeve-blck-multi-short-circuit,
T17C-5KS,laptop-sleeve-high-risk-red,"Specified URL key already exists"
T17C-9RW,laptop-sleeve-mammoth-blue,"Specified URL key already exists"
T17C-1G4,laptop-sleeve-pink-pansy-muted-safari,"Specified URL key already exists"
T17C-1E5,laptop-sleeve-pink-pansy-preston-plaid,"Specified URL key already exists"
T12G-9PC,sleeve-for-laptop-and-ipad-black-gloss-zebra,"Specified URL key already exists"
T12G-212,sleeve-for-laptop-and-ipad-caramel-leopard,"Specified URL key already exists"
T12G-6XJ,sleeve-for-laptop-and-ipad-grey-tar,"Specified URL key already exists"
T12G-7PB,sleeve-for-laptop-and-ipad-white-black-crayon-flower,"Specified URL key already exists"
T27A-9PC,folio-for-ipad-black-gloss-zebra,
T27A-ZY1,Folio-for-ipad-black-onyx,
T27A-212,folio-for-ipad-caramel-leopard,
T27A-ZM0,folio-for-ipad-fun-floral-on-denim,
T27A-6XJ,folio-for-ipad-grey-tar,
T12J-6XJ,sleeve-for-ipad-grey-tar,
JS00T69J-0WJ,abbie-chambray-sweet-blossom,
JS00T69J-0LM,abbie-coral-peaches-metallic-coat,
JS00T69J-0TR,abbie-gold-3d-stars,
JS00T69J-0LN,abbie-multi-palm-denim,
JS00T69J-0FF,abbie-multi-surf-stripe,
JS00T69J-0U3,abbie-navy-twiggy-dog-jacquard,
JS00T14F-008,agave-black,
JS00T14F-0UT,agave-bozeman-brown/field-tan,
JS00T14F-0UY,agave-forge-grey/red-tape,
JS00T14F-0XN,agave-moroccan-deep-midnight-sky,
T26L-9ER,all-purpose-blue-wash,
T26L-008,all-purpose-black,
T26L-8WG,all-purpose-coral-sparkle,
T26L-9RX,all-purpose-fluorescent-pink,
T26L-9RS,all-purpose-shady-grey,
T71A-9ZG,austin-aqua-dash,
JS00T71A-008,austin-black,
JS00T71A-0JR,austin-black-paintball,
T71A-9SA,austin-coral-peaches,
T71A-ZU3,austin-desert-beige-conflict-camo,
JS00T71A-6XD,austin-forge-grey,
JS00T71A-0KL,austin-multi-concrete-floral,
JS00T71A-0KP,austin-multi-frequency,
JS00T71A-0N9,austin-multi-midnight-bouquet,
JS00T71A-0E2,austin-multi-navy-mountain-meadow,
JS00T71A-0VZ,austin-multi-white-floral-haze,
JS00T71A-9ZH,austin-navy-moonshine,
JS00T71A-9FL,austin-viking-red,
JS00T71A-0WT,autin-aqua-dash-scribbled-ink,
T49A-9RX,bassic-accesory-fluorecent-pink,
T49A-9RW,bassic-accesory-mammonth-blue,
T49A-1U1,bassic-accesory-pouch-mammoth-blue-zoot-suit,
JS0A2T3B-0JB,beacon-coral-sparkle-pretty-posey,
JS0A2T3B-0J8,beacon-jansport-navy-watercolor-chevron,
JS0A2T3B-0P0,beacon-navy-moonshine-lime-punch,
T50A-9ZG,beatnik-aqua-dash,
T50A-008,beatnik-black,
T50A-9W1,beatnik-blue-denim,
T50A-2C9,beatnik-coral-dusk,
