sku,additional_attributes
T26Z-1F8,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=Ipad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T26Z"
T26Z-008,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=Ipad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T26Z"
T26Z-1F3,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=Ipad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T26Z"
T26Z-9XV,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=Ipad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T26Z"
T26Z-9RW,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=Ipad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T26Z"
T26Z-1E5,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=Ipad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T26Z"
T17E-1G2,"peso=3.5 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=Ipad & Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, tricot lined compartment fits apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad & Tablet,size=,type=DIGITAL,style=T17E"
T17E-008,"peso=3.5 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=Ipad & Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, tricot lined compartment fits apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad & Tablet,size=,type=DIGITAL,style=T17E"
T17E-1F3,"peso=3.5 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=Ipad & Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, tricot lined compartment fits apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad & Tablet,size=,type=DIGITAL,style=T17E"
T17E-9XV,"peso=3.5 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=Ipad & Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, tricot lined compartment fits apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad & Tablet,size=,type=DIGITAL,style=T17E"
