sku,base_image,small_image,thumbnail_image,swatch_image
T26Z-008,/T26Z_008.jpg,/T26Z_008.jpg,/T26Z_008.jpg,/T26Z_008.jpg
T26Z-1F3,/T26Z_1F3.jpg,/T26Z_1F3.jpg,/T26Z_1F3.jpg,/T26Z_1F3.jpg
T17E-9XV,/T17E_9XV.jpg,/T17E_9XV.jpg,/T17E_9XV.jpg,/T17E_9XV.jpg
T17E-1E5,/T17E_1E5.jpg,/T17E_1E5.jpg,/T17E_1E5.jpg,/T17E_1E5.jpg
T17D-9XV,/T17D_1G2.jpg,/T17D_1G2.jpg,/T17D_1G2.jpg,/T17D_1G2.jpg
T17D-008,/T17D_1F3.jpg,/T17D_1F3.jpg,/T17D_1F3.jpg,/T17D_1F3.jpg
T12H-212,/T12H_212.jpg,/T12H_212.jpg,/T12H_212.jpg,/T12H_212.jpg
T17C-9RW,/T17C_9RW.jpg,/T17C_9RW.jpg,/T17C_9RW.jpg,/T17C_9RW.jpg
T12G-6XJ,/T12G_6XJ.jpg,/T12G_6XJ.jpg,/T12G_6XJ.jpg,/T12G_6XJ.jpg
T27A-9PC,/T27A_9PC.jpg,/T27A_9PC.jpg,/T27A_9PC.jpg,/T27A_9PC.jpg
JS00T69J-0WJ,/JS00T69J_0WJ.jpg,/JS00T69J_0WJ.jpg,/JS00T69J_0WJ.jpg,/JS00T69J_0WJ.jpg
JS00T69J-0LM,/JS00T69J_0LM.jpg,/JS00T69J_0LM.jpg,/JS00T69J_0LM.jpg,/JS00T69J_0LM.jpg
JS00T69J-0LN,/JS00T69J_0LN.jpg,/JS00T69J_0LN.jpg,/JS00T69J_0LN.jpg,/JS00T69J_0LN.jpg
JS00T69J-0FF,/JS00T69J_0FF.jpg,/JS00T69J_0FF.jpg,/JS00T69J_0FF.jpg,/JS00T69J_0FF.jpg
JS00T14F-008,/JS00T14F_008.jpg,/JS00T14F_008.jpg,/JS00T14F_008.jpg,/JS00T14F_008.jpg
JS00T14F-0UT,/JS00T14F_0UT.jpg,/JS00T14F_0UT.jpg,/JS00T14F_0UT.jpg,/JS00T14F_0UT.jpg
JS00T14F-0UY,/JS00T14F_0UY.jpg,/JS00T14F_0UY.jpg,/JS00T14F_0UY.jpg,/JS00T14F_0UY.jpg
JS00T14F-0XN,/JS00T14F_0XN.jpg,/JS00T14F_0XN.jpg,/JS00T14F_0XN.jpg,/JS00T14F_0XN.jpg
T26L-9ER,/T26L_008.jpg,/T26L_008.jpg,/T26L_008.jpg,/T26L_008.jpg
T26L-008,/T26L_9ER.jpg,/T26L_9ER.jpg,/T26L_9ER.jpg,/T26L_9ER.jpg
T26L-8WG,/T26L_8WG.jpg,/T26L_8WG.jpg,/T26L_8WG.jpg,/T26L_8WG.jpg
T26L-9RX,/T26L_9RX.jpg,/T26L_9RX.jpg,/T26L_9RX.jpg,/T26L_9RX.jpg
T26L-9RS,/T26L_9RS.jpg,/T26L_9RS.jpg,/T26L_9RS.jpg,/T26L_9RS.jpg
T71A-9ZG,/T71A_9ZG.jpg,/T71A_9ZG.jpg,/T71A_9ZG.jpg,/T71A_9ZG.jpg
JS00T71A-008,/JS00T71A_008.jpg,/JS00T71A_008.jpg,/JS00T71A_008.jpg,/JS00T71A_008.jpg
JS00T71A-0JR,/JS00T71A_0JR.jpg,/JS00T71A_0JR.jpg,/JS00T71A_0JR.jpg,/JS00T71A_0JR.jpg
T71A-9SA,/T71A_9SA.jpg,/T71A_9SA.jpg,/T71A_9SA.jpg,/T71A_9SA.jpg
T71A-ZU3,/T71A_ZU3.jpg,/T71A_ZU3.jpg,/T71A_ZU3.jpg,/T71A_ZU3.jpg
JS00T71A-6XD,/JS00T71A_6XD.jpg,/JS00T71A_6XD.jpg,/JS00T71A_6XD.jpg,/JS00T71A_6XD.jpg
JS00T71A-0KL,/JS00T71A_0KL.jpg,/JS00T71A_0KL.jpg,/JS00T71A_0KL.jpg,/JS00T71A_0KL.jpg
JS00T71A-0KP,/JS00T71A_0KP.jpg,/JS00T71A_0KP.jpg,/JS00T71A_0KP.jpg,/JS00T71A_0KP.jpg
JS00T71A-0N9,/T71A_0N9.jpg,/T71A_0N9.jpg,/T71A_0N9.jpg,/T71A_0N9.jpg
JS00T71A-0E2,/JS00T71A_0E2.jpg,/JS00T71A_0E2.jpg,/JS00T71A_0E2.jpg,/JS00T71A_0E2.jpg
JS00T71A-0VZ,/JS00T71A_0VZ.jpg,/JS00T71A_0VZ.jpg,/JS00T71A_0VZ.jpg,/JS00T71A_0VZ.jpg
JS00T71A-9ZH,/JS00T71A_9ZH.jpg,/JS00T71A_9ZH.jpg,/JS00T71A_9ZH.jpg,/JS00T71A_9ZH.jpg
JS00T71A-9FL,/JS00T71A_9FL.jpg,/JS00T71A_9FL.jpg,/JS00T71A_9FL.jpg,/JS00T71A_9FL.jpg
JS0A2T3B-0J8,/JS0A2T3B_0J8.jpg,/JS0A2T3B_0J8.jpg,/JS0A2T3B_0J8.jpg,/JS0A2T3B_0J8.jpg
JS0A2T3B-0P0,/JS0A2T3B_0P0.jpg,/JS0A2T3B_0P0.jpg,/JS0A2T3B_0P0.jpg,/JS0A2T3B_0P0.jpg
T50A-9ZG,/T50A_9ZG.jpg,/T50A_9ZG.jpg,/T50A_9ZG.jpg,/T50A_9ZG.jpg
T50A-008,/T50A_008.jpg,/T50A_008.jpg,/T50A_008.jpg,/T50A_008.jpg
T50A-9W1,/T50A_9W1.jpg,/T50A_9W1.jpg,/T50A_9W1.jpg,/T50A_9W1.jpg
T50A-2C9,/T50A_2C9.jpg,/T50A_2C9.jpg,/T50A_2C9.jpg,/T50A_2C9.jpg
T50A-ZB6,/T50A_ZB6.jpg,/T50A_ZB6.jpg,/T50A_ZB6.jpg,/T50A_ZB6.jpg
T50A-ZB3,/T50A_ZB3.jpg,/T50A_ZB3.jpg,/T50A_ZB3.jpg,/T50A_ZB3.jpg
T50A-8WU,/T50A_8WU.jpg,/T50A_8WU.jpg,/T50A_8WU.jpg,/T50A_8WU.jpg
JS0A2T3D-0NR,/JS0A2T3D_0NR.jpg,/JS0A2T3D_0NR.jpg,/JS0A2T3D_0NR.jpg,/JS0A2T3D_0NR.jpg
JS0A2T3D-6XD,/JS0A2T3D_6XD.jpg,/JS0A2T3D_6XD.jpg,/JS0A2T3D_6XD.jpg,/JS0A2T3D_6XD.jpg
JS0A2T3D-0KT,/JS0A2T3D_0KT.jpg,/JS0A2T3D_0KT.jpg,/JS0A2T3D_0KT.jpg,/JS0A2T3D_0KT.jpg
